"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"MY2023265Q0NF6V","2023-09-22","Wilmar Edible Oils Sdn Bhd, Butterworth","6427, MK 14, Kawasan Perusahaan Mak Mandin, 13400 Butterworth, Penang, Malaysia","MY","Malaysia",5.4317766,100.4082732,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"CN20232928B3HAP","2023-10-19","Wilmar Highpolymer Material (Lianyungang) Co. Ltd","No.16, Xianghe Road, Banqiao Industries Park, Lianyungang Jiangsu, China 222066","CN","China",34.633054,119.453916,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar International Limited","","","","","False"
"NG20223007GGEN8","2022-10-27","Wilmar International Limited","Calaro Palm Oil Mill, Mbarakom, Akamkpa Lga 0000 Cross River State Cross River State Nigeria","NG","Nigeria",5.2590465,8.2710429,"Agriculture","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"MY2022300WE6G2H","2022-10-27","Wilmar International Limited","Dubois-Natural Esters Sdn. Bhd., Plo 428 & 502, Jalan Besi Satu, 81700 Pasir Gudang, Johor Darul Takzim","MY","Malaysia",1.4498538,103.9031382,"Agriculture","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"CN2023292V6M8DF","2023-10-19","Wilmar International Limited","No. 1, East Road, Huanghai Avenue, Economic & Technology Development Zone Lingang Industrial Zone, China 222042 ","CN","China",30.89834,121.91966,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","","","","","","False"
"MY2022301877BR9","2022-10-27","Wilmar International Limited","Pgeo Oil Mill Sdn Bhd, Kernel Crushing Plant, Lot 128, Jalan Pukal Satu Kawasan Perindustrian Lpj 81700 Pasir Gudang Johor Darul Takzim Malaysia","MY","Malaysia",1.439495,103.9088303,"Agriculture","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"ID2022299001K2X","2022-10-25","Wilmar International Limited","Pt Multimas Nabati Asahan, Access Road Dusun Iv Tj. Permai, Desa Kuala Tanjung, Kecamatan Sei Suka, Kabupaten Batu Bara 21257 Sumatera Utara Indonesia","ID","Indonesia",3.355912,99.4422664,"Agriculture","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"ID2022301V37310","2022-10-27","Wilmar International Limited","Pt. Wilmar Cahaya Indonesia, Tbk. - Cikarang, Jl. Industri Selatan 3 Jababeka Tahap Ii Gg No. 1 Pasirsari 17532 Cikarang Selatan,Kabupaten Bekasi Jawa Barat Indonesia","ID","Indonesia",-6.294548,107.1414826,"","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"MY2022299B29WBX","2022-10-25","Wilmar International Limited","Tsh Wilmar Sdn Bhd, Km 1, Jalan Kampung Kunak Jaya 91207 Kunak Sabah Malaysia","MY","Malaysia",4.6950933,118.2392722,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar|Wilmar International Limited","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"IN2023265Q633CT","2023-09-22","Wilmar International Ltd, Haldia","JL No. 149, Debhog HPL, 721657 Haldia - West Bengal, India","IN","India",22.2251771,87.4950586,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing|Government Registry","Government of West Bengal Registered Factories [Public List] (West Bengal Registered Factories List)|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)|Government of West Bengal Registered Factories [Public List] (West Bengal Registered Factories List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
